Name,Platforms,Country,Language,Handle,Contact_Value,Source_Link,Est_Conversion_Rate,Category,Tier,Notes
Tanmay Bhat,YouTube,India,Hindi,@tanmaybhat,High ($10k+),https://youtube.com/tanmaybhat,3.5%,Tech/Comedy,Mega,Anchor
Mortal,YouTube,India,Hindi,@mortal,High ($8k+),https://youtube.com/mortal,3.2%,Gaming,Mega,Anchor
Technical Guruji,YouTube,India,Hindi,@technicalguruji,High ($15k+),https://youtube.com/technicalguruji,2.1%,Tech,Mega,Anchor
Marques Brownlee,YouTube,USA,English,@mkbhd,Very High ($100k+),https://youtube.com/mkbhd,1.5%,Tech,Mega,Global Anchor
CarryMinati,YouTube,India,Hindi,@carryminati,Very High ($25k+),https://youtube.com/carryminati,4.0%,Gaming,Mega,Anchor
RahulTech,YouTube,India,English,@rahultech_tech362,Low ($311),https://platform.com/rahultech_tech362,5.67%,Tech,Micro,Mock Data - Ready for Outreach
Anjali World,YouTube,India,Telugu,@anjaliworld_tech40,Low ($358),https://platform.com/anjaliworld_tech40,5.33%,Tech,Micro,Mock Data - Ready for Outreach
Sarah Anna,Instagram,Canada,English,@sarahanna_professional933,Low ($406),https://platform.com/sarahanna_professional933,4.81%,Professional,Micro,Mock Data - Ready for Outreach
AnnaTech,YouTube/Instagram,Australia,English,@annatech_tech517,Low ($356),https://platform.com/annatech_tech517,5.84%,Tech,Micro,Mock Data - Ready for Outreach
Sneha Arjun,YouTube/Instagram,India,Tamil,@snehaarjun_tech743,Low ($713),https://platform.com/snehaarjun_tech743,4.65%,Tech,Micro,Mock Data - Ready for Outreach
TechProfessional,Instagram,India,English,@techprofessional_professional412,Low ($169),https://platform.com/techprofessional_professional412,5.22%,Professional,Micro,Mock Data - Ready for Outreach
Mike Ryan,Twitter/X,UK,English,@mikeryan_gaming59,Medium ($4k),https://platform.com/mikeryan_gaming59,3.18%,Gaming,Mid,Mock Data - Ready for Outreach
TomGaming,Instagram,Germany,English,@tomgaming_gaming116,Low ($327),https://platform.com/tomgaming_gaming116,4.77%,Gaming,Micro,Mock Data - Ready for Outreach
VikramTech,YouTube/Instagram,India,English,@vikramtech_tech160,Low ($500),https://platform.com/vikramtech_tech160,5.93%,Tech,Micro,Mock Data - Ready for Outreach
Mike Anna,Twitter/X,Germany,English,@mikeanna_professional882,Low ($826),https://platform.com/mikeanna_professional882,5.47%,Professional,Micro,Mock Data - Ready for Outreach
Rahul Priya,YouTube,India,Hindi/English,@rahulpriya_gaming280,Low ($635),https://platform.com/rahulpriya_gaming280,5.11%,Gaming,Micro,Mock Data - Ready for Outreach
NishaProfessional,YouTube,India,Telugu,@nishaprofessional_professional496,Low ($750),https://platform.com/nishaprofessional_professional496,4.2%,Professional,Micro,Mock Data - Ready for Outreach
TechGaming,Twitch,India,Tamil,@techgaming_gaming321,Low ($472),https://platform.com/techgaming_gaming321,4.15%,Gaming,Micro,Mock Data - Ready for Outreach
AlexGaming,Instagram,USA,English,@alexgaming_gaming772,Medium ($1k),https://platform.com/alexgaming_gaming772,3.48%,Gaming,Mid,Mock Data - Ready for Outreach
EmmaGaming,YouTube/Instagram,Germany,English,@emmagaming_gaming877,Low ($554),https://platform.com/emmagaming_gaming877,4.42%,Gaming,Micro,Mock Data - Ready for Outreach
AnjaliTech,YouTube,India,English,@anjalitech_tech181,Low ($388),https://platform.com/anjalitech_tech181,5.74%,Tech,Micro,Mock Data - Ready for Outreach
Alex Sarah,Twitch,USA,English,@alexsarah_tech379,Low ($888),https://platform.com/alexsarah_tech379,5.22%,Tech,Micro,Mock Data - Ready for Outreach
TechTech,YouTube/Instagram,India,Hindi,@techtech_tech360,Low ($559),https://platform.com/techtech_tech360,5.37%,Tech,Micro,Mock Data - Ready for Outreach
MikeProfessional,YouTube/Instagram,Australia,English,@mikeprofessional_professional450,Medium ($3k),https://platform.com/mikeprofessional_professional450,3.62%,Professional,Mid,Mock Data - Ready for Outreach
OfficialGaming,Twitch,India,Telugu,@officialgaming_gaming463,Medium ($3k),https://platform.com/officialgaming_gaming463,2.83%,Gaming,Mid,Mock Data - Ready for Outreach
AnnaTech,Twitch,USA,English,@annatech_tech461,Low ($206),https://platform.com/annatech_tech461,4.81%,Tech,Micro,Mock Data - Ready for Outreach
Gamer Nisha,Instagram,India,Hindi/English,@gamernisha_tech213,Low ($550),https://platform.com/gamernisha_tech213,5.23%,Tech,Micro,Mock Data - Ready for Outreach
ChrisTech,Twitter/X,Canada,English,@christech_tech9,Low ($706),https://platform.com/christech_tech9,5.0%,Tech,Micro,Mock Data - Ready for Outreach
JessicaTech,Instagram,Canada,English,@jessicatech_tech313,Low ($235),https://platform.com/jessicatech_tech313,4.88%,Tech,Micro,Mock Data - Ready for Outreach
Plays David,YouTube,UK,English,@playsdavid_gaming458,Low ($369),https://platform.com/playsdavid_gaming458,4.67%,Gaming,Micro,Mock Data - Ready for Outreach
Mike Chris,YouTube/Instagram,UK,English,@mikechris_professional124,Low ($461),https://platform.com/mikechris_professional124,5.4%,Professional,Micro,Mock Data - Ready for Outreach
Nisha Nisha,Twitch,India,Hindi,@nishanisha_professional278,Low ($610),https://platform.com/nishanisha_professional278,4.44%,Professional,Micro,Mock Data - Ready for Outreach
PlaysGaming,Instagram,USA,English,@playsgaming_gaming417,Medium ($1k),https://platform.com/playsgaming_gaming417,2.53%,Gaming,Mid,Mock Data - Ready for Outreach
ZoneGaming,YouTube,India,Marathi,@zonegaming_gaming848,Low ($773),https://platform.com/zonegaming_gaming848,4.29%,Gaming,Micro,Mock Data - Ready for Outreach
RahulTech,Instagram,India,Hindi/English,@rahultech_tech392,Medium ($1k),https://platform.com/rahultech_tech392,3.5%,Tech,Mid,Mock Data - Ready for Outreach
Gamer Gamer,YouTube,India,Hindi/English,@gamergamer_professional557,Low ($224),https://platform.com/gamergamer_professional557,5.4%,Professional,Micro,Mock Data - Ready for Outreach
TV TV,YouTube/Instagram,Germany,English,@tvtv_tech202,Low ($400),https://platform.com/tvtv_tech202,5.6%,Tech,Micro,Mock Data - Ready for Outreach
Sneha Vikram,YouTube,India,Telugu,@snehavikram_gaming209,Low ($706),https://platform.com/snehavikram_gaming209,4.17%,Gaming,Micro,Mock Data - Ready for Outreach
AmitProfessional,YouTube,India,Tamil,@amitprofessional_professional631,Low ($515),https://platform.com/amitprofessional_professional631,5.19%,Professional,Micro,Mock Data - Ready for Outreach
