Name,Platforms,Country,Language,Handle,Contact_Value,Source_Link,Est_Conversion_Rate,Category,Tier,Notes
Tanmay Bhat,YouTube,India,Hindi/English,@tanmaybhat,High ($5k+),https://youtube.com/tanmaybhat,3.5%,Tech/Comedy,Mega,Focus on 'reaction' to privacy features
Gyan Therapy,YouTube/Instagram,India,Hindi,@gyantherapy,Medium ($500-$2k),https://instagram.com/gyantherapy,4.2%,Tech,Mid,High trust in mobile tech niche
Mortal (Naman Mathur),YouTube/Instagram,India,Hindi/English,@mortal,High ($10k+),https://instagram.com/ig_mortal,2.8%,Gaming,Mega,Target for gaming community adoption
Techno Ruhez,YouTube,India,Hindi,@technoruhez,Medium ($1k-$3k),https://youtube.com/technoruhez,3.8%,Tech,Mid,Good for feature breakdowns
Shreemani,Instagram,India,Hindi,@shreemani,Low ($100-$500),https://instagram.com/shreemani,5.5%,Tech/Tips,Micro,High engagement reels
Linus Tech Tips,YouTube,Canada,English,@linustech,Very High ($20k+),https://youtube.com/linustech,1.5%,Tech,Mega,Global brand awareness (Phase 2)
Mrwhosetheboss,YouTube,Canada,English,@mrwhosetheboss,Very High ($15k+),https://youtube.com/mrwhosetheboss,2.0%,Tech,Mega,Focus on UI/UX critique
CarryMinati,YouTube,India,Hindi,@carryminati,Very High ($25k+),https://youtube.com/carryminati,4.0%,Gaming/Roast,Mega,Viral potential for "Vortex" feature
Tech Burner,YouTube/Instagram,India,Hindi/English,@techburner,High ($8k+),https://instagram.com/techburner,3.2%,Tech,Mega,Visual storytelling matches app aesthetic
Beebom,YouTube,UK,English,@beebomco,Medium ($2k-$5k),https://twitter.com/beebomco,2.5%,Tech,Mid,Global tech news coverage
Dr. Disrespect,YouTube/Twitch,USA,English,@drdisrespect,Very High ($50k+),https://youtube.com/drdisrespect,1.8%,Gaming,Mega,Matches "Cyberpunk/Dystopian" aesthetic perfectly
SomeOrdinaryGamers,YouTube,Canada,English,@mutahar,Medium ($3k-$7k),https://youtube.com/someordinarygamers,4.5%,Tech/Security,Mid,Ideal for "Deep Privacy" and "E2EE" discussions
Samay Raina,YouTube,India,Hindi,@samayraina,Medium ($2k-$5k),https://youtube.com/samayraina,3.0%,Gaming/Comedy,Mid,Live stream integration of app
Technical Guruji,YouTube,India,Hindi,@technicalguruji,High ($10k+),https://youtube.com/technicalguruji,2.2%,Tech,Mega,Mass market penetration in India
PcCentric,YouTube/TikTok,UK,English,@pccentric,Low ($500-$1k),https://tiktok.com/@pccentric,3.9%,Tech,Micro,PC building community (high technical literacy)
Rawknee Games,YouTube,India,Hindi,@rawknee,Medium ($1k-$3k),https://youtube.com/rawknee,3.5%,Gaming,Mid,Gen Z audience alignment
MKBHD,YouTube,UK,English,@mkbhd,Very High ($100k+),https://twitter.com/mkbhd,1.2%,Tech,Mega,The "Gold Standard" for design review
Ankit Baiyanpuria,Instagram,India,Hindi,@ankit_baiyanpuria,Medium ($2k-$5k),https://instagram.com/ankit_baiyanpuria,6.0%,Lifestyle/Fitness,Mid,High discipline/routine alignment (Daily Directive feature)
Fing,YouTube,India,Hindi,@fing,Medium ($1k-$3k),https://youtube.com/fing,4.1%,Conspiracy/Tech,Mid,Perfect for "Anonymous/Dark Web" vibe marketing
Triggered Insaan,YouTube,India,Hindi,@triggeredinsaan,High ($8k+),https://youtube.com/triggeredinsaan,3.1%,Gaming/Comedy,Mega,Youth appeal
